cpu,memory,requests_per_sec,status
25,40,120,healthy
30,45,150,healthy
35,50,180,healthy
20,35,90,healthy
40,55,220,healthy
45,60,250,healthy
28,42,130,healthy
38,48,190,healthy
50,58,240,healthy
32,46,160,healthy
55,65,300,healthy
48,62,280,healthy
60,68,350,healthy
42,57,230,healthy
52,63,290,healthy
70,75,500,unhealthy
80,85,650,unhealthy
90,92,800,unhealthy
95,96,950,unhealthy
85,88,720,unhealthy
75,82,580,unhealthy
92,90,850,unhealthy
88,93,780,unhealthy
78,84,620,unhealthy
97,98,1000,unhealthy
82,89,700,unhealthy
73,80,550,unhealthy
94,95,900,unhealthy
87,91,760,unhealthy
76,83,600,unhealthy
